czone,msa,score,rank,housing_share,hh_income,amenity_income_price,amenity_value
14600,"Bloomington, IN Metropolitan Statistical Area",0.095444889,48,0.241993376,89873.08524,0.023097031,2075.8
14600,"Washington, IN Micropolitan Statistical Area",0.095444889,48,0.241993376,89873.08524,0.023097031,2075.8
34102,"Anchorage, AK Metropolitan Statistical Area",0.09054872,49,0.239275436,121025.5746,0.021666085,2622.15
1400,"Fayetteville, NC Metropolitan Statistical Area",0.08939993,50,0.265283252,71563.50944,0.023716304,1697.22
1400,"Laurinburg, NC Micropolitan Statistical Area",0.08939993,50,0.265283252,71563.50944,0.023716304,1697.22
1400,"Lumberton, NC Micropolitan Statistical Area",0.08939993,50,0.265283252,71563.50944,0.023716304,1697.22
1400,"Rockingham, NC Micropolitan Statistical Area",0.08939993,50,0.265283252,71563.50944,0.023716304,1697.22
1400,"Southern Pines, NC Micropolitan Statistical Area",0.08939993,50,0.265283252,71563.50944,0.023716304,1697.22
20401,"Providence-New Bedford-Fall River, RI-MA Metropolitan Statistical Area",0.088444325,51,0.237338403,103837.004,0.020991235,2179.67
31201,"Austin-Round Rock, TX Metropolitan Statistical Area",0.085419574,52,0.241772228,123531.5596,0.020652081,2551.18
9400,"Cornelia, GA Micropolitan Statistical Area",0.085051018,53,0.226885849,104350.36,0.019296872,2013.64
9400,"Gainesville, GA Metropolitan Statistical Area",0.085051018,53,0.226885849,104350.36,0.019296872,2013.64
39400,"Bremerton-Silverdale, WA Metropolitan Statistical Area",0.084126835,54,0.240888032,139035.5575,0.020265148,2817.58
39400,"Centralia, WA Micropolitan Statistical Area",0.084126835,54,0.240888032,139035.5575,0.020265148,2817.58
39400,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",0.084126835,54,0.240888032,139035.5575,0.020265148,2817.58
39400,"Oak Harbor, WA Micropolitan Statistical Area",0.084126835,54,0.240888032,139035.5575,0.020265148,2817.58
39400,"Olympia, WA Metropolitan Statistical Area",0.084126835,54,0.240888032,139035.5575,0.020265148,2817.58
39400,"Seattle-Bellevue-Everett, WA Metropolitan Division",0.084126835,54,0.240888032,139035.5575,0.020265148,2817.58
39400,"Shelton, WA Micropolitan Statistical Area",0.084126835,54,0.240888032,139035.5575,0.020265148,2817.58
39400,"Tacoma, WA Metropolitan Division",0.084126835,54,0.240888032,139035.5575,0.020265148,2817.58
6800,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",0.081678068,55,0.238487593,80695.82648,0.019479206,1571.89
6800,"Sebring, FL Micropolitan Statistical Area",0.081678068,55,0.238487593,80695.82648,0.019479206,1571.89
6800,"Wauchula, FL Micropolitan Statistical Area",0.081678068,55,0.238487593,80695.82648,0.019479206,1571.89
23100,"Baraboo, WI Micropolitan Statistical Area",0.081203106,56,0.221680066,113353.8132,0.01800111,2040.49
23100,"Madison, WI Metropolitan Statistical Area",0.081203106,56,0.221680066,113353.8132,0.01800111,2040.49
22100,"Iowa City, IA Metropolitan Statistical Area",0.081082313,57,0.231644136,117647.3487,0.018782242,2209.68
22100,"Muscatine, IA Micropolitan Statistical Area",0.081082313,57,0.231644136,117647.3487,0.018782242,2209.68
30802,"Levelland, TX Micropolitan Statistical Area",0.075469916,58,0.238508144,84968.85392,0.01800019,1529.46
30802,"Lubbock, TX Metropolitan Statistical Area",0.075469916,58,0.238508144,84968.85392,0.01800019,1529.46
28101,"Beatrice, NE Micropolitan Statistical Area",0.068736044,59,0.219256934,92026.09974,0.015070854,1386.91
28101,"Lincoln, NE Metropolitan Statistical Area",0.068736044,59,0.219256934,92026.09974,0.015070854,1386.91
38601,"Coeur d'Alene, ID Metropolitan Statistical Area",0.066451512,60,0.223838124,95616.5137,0.014874382,1422.24
38601,"Spokane, WA Metropolitan Statistical Area",0.066451512,60,0.223838124,95616.5137,0.014874382,1422.24
19901,"Dover, DE Metropolitan Statistical Area",0.062480765,61,0.232246502,95947.01348,0.014510939,1392.28
19901,"Ocean Pines, MD Micropolitan Statistical Area",0.062480765,61,0.232246502,95947.01348,0.014510939,1392.28
19901,"Salisbury, MD Metropolitan Statistical Area",0.062480765,61,0.232246502,95947.01348,0.014510939,1392.28
19901,"Seaford, DE Micropolitan Statistical Area",0.062480765,61,0.232246502,95947.01348,0.014510939,1392.28
32900,"Killeen-Temple-Fort Hood, TX Metropolitan Statistical Area",0.062111079,62,0.248377324,83929.72232,0.015426983,1294.78
30601,"El Paso, TX Metropolitan Statistical Area",0.058693283,63,0.22828052,73353.46681,0.013398533,982.83
30601,"Las Cruces, NM Metropolitan Statistical Area",0.058693283,63,0.22828052,73353.46681,0.013398533,982.83
20902,"Bennington, VT Micropolitan Statistical Area",0.055116179,64,0.230450646,100928.5722,0.012701559,1281.95
20902,"Pittsfield, MA Metropolitan Statistical Area",0.055116179,64,0.230450646,100928.5722,0.012701559,1281.95
6401,"Chattanooga, TN-GA Metropolitan Statistical Area",0.054529337,65,0.20587112,97647.53054,0.011226016,1096.19
20100,"Augusta-Waterville, ME Micropolitan Statistical Area",0.054381255,66,0.209235599,88761.37382,0.011378494,1009.97
20100,"Lewiston-Auburn, ME Metropolitan Statistical Area",0.054381255,66,0.209235599,88761.37382,0.011378494,1009.97
